127.0.0.1 - - [29/Dec/2016:22:59:40 -0200] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:23 -0200] "GET /financeiro/javax.faces.resource/editar16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:23 -0200] "GET /financeiro/javax.faces.resource/ROLE_USUARIO_VIP_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:23 -0200] "GET /financeiro/javax.faces.resource/ROLE_ADMINISTRADOR_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "POST /financeiro/admin/principal.jsf HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/usuario_ativo_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/ROLE_ADMINISTRADOR_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/bandeira_pt_BR.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/usuario_ativo_false.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/excluir16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/bandeira_en_US.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/ROLE_USUARIO_VIP_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:26 -0200] "GET /financeiro/javax.faces.resource/editar16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "POST /financeiro/admin/principal.jsf HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/logout16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/usuario_ativo_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/administrativo16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/bandeira_pt_BR.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/ROLE_ADMINISTRADOR_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/excluir16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/ROLE_USUARIO_VIP_true.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/editar16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/bandeira_en_US.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:29 -0200] "GET /financeiro/javax.faces.resource/principal16.png.jsf?ln=imagens HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/ HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/javax.faces.resource/estilo.css.jsf?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2016:23:01:47 -0200] "GET /financeiro/javax.faces.resource/logotipo_g.png.jsf?ln=imagens HTTP/1.1" 304 -
